,state,city,soil type,nitrogen_soil,phosphorus_soil,potassium_soil,temperature,humidity,ph,rainfall,crop_1,crop_2,crop_3,crop_4
1,Andhra Pradesh,nellore,red sandy,200-5000 kg\ha,10-20 kg/ha,150-300kg/ha,20°C-30 °C,60%-80%,6.0-7.5,700-1000mm,rice,groundnut,cotton,pulses
2,Andhra Pradesh,guntur,black,200-400 kg/ha,10-20 kg/ha,300-500 kg/ha,20°C-45 °C,50%-80%,6.5-8.0,700-900mm,cotton ,chili,groundnut,pulses
3,Andhra Pradesh,rajamunda,laterite,150-400 kg/ha,10-30 kg/ha,150-500 kg/ha,15°C-40 °C,60%-80%,5.5-7.5,1200-1500 mm,rice,oilseeds,sugarcane,cotton
4,Arunachal Pradesh,pasighat,alluvial,150-400 kg/ha,10-40 kg/ha,150-500 kg/ha,15°C-30 °C,70%-90%,5.5-7.0,2000-3000mm,cardamom,ginger,rice,pulses
5,Arunachal Pradesh,roing,loamy,150-400 kg/ha,10-40 kg/ha,150-500 kg/ha,10°C-30 °C,70%-90%,5.5-7.0,2000-3000mm,maize,rice,ginger,cardamom
6,Arunachal Pradesh,tawang,alluvial,100-350 kg/ha,10-30 kg/ha,150-500 kg/ha,10°C-20 °C,60%-80%,5.0-6.5,1000-1500mm,potatoes,green beans,peas,cabbage
7,Arunachal Pradesh,ziro,loamy,150-400 kg/ha,10-40 kg/ha,150-500 kg/ha,10°C-30 °C,70%-85%,5.5-7.0,1500-2000mm,cardamom,ginger,rice,pulses
8,Assam,jorhat,clay,150-400 kg/ha,20-40 kg/ha,200-500 kg/ha,10°C-35 °C,70%-90%,5.5-6.5,2000-2500mm,sugarcane,tea,rice,pulses
9,Assam,dibrugarh,loamy,150-400 kg/ha,20-40 kg/ha,200-300 kg/ha,15°C-35 °C,65%-89%,5.7-6.4,2000-2500 mm,rice,pulses,sugarcane,tea
10,Assam,guwahati,alluvial,160-400 kg/ha,25-45 kg/ha,200-500 kg/ha,10°C-35 °C,70%-95%,5.5-6.5,1800-2200mm,tea,rice,sugarcane,pulses
11,Assam,nagaon,clay,150-400 kg/ha,24-45 kg/ha,200-400 kg/ha,15°C-30 °C,75%-90%,5.0-6.5,1800-2000mm,rice,sugarcane,tea,cabbage
12,Bihar,patna,alluvial,150-400 kg/ha,20-45 kg/ha,200-500 kg/ha,10°C-40 °C,60%-90%,5.5-7.0,1000-1200 mm,maize,oilseeds,jute,groundnut
13,Bihar,bhagalpur,loamy,150-300 kg/ha,20-45 kg/ha,200-400 kg/ha,10°C-35 °C,65%-90%,5.5-7.5,1000-1500mm,cotton,banana,groundnut,maize
14,Bihar,begusarai,alluvial,150-350 kg/ha,20-45 kg/ha,200-500 kg/ha,10°C-40 °C,60%-90%,5.5-6.5,1000-1500mm,mustard oil,maize,jute,guava
15,Bihar,gaya,clay,150-300 kg/ha,25-45 kg/ha,200-400 kg/ha,15°C-45 °C,70%-85%,6.0-7.5,1000-1200mm,cotton,maize,banana,groundnut
